document_id,field_path,baseline_failure_class,recovered_by_spans,recovered_by_ocr,recovered_by_cells,recovered_by_union
short/08-15427 H-12 1-21-2003 F-01341,multiple_lease_no,INCOMPLETE_PERCEPTION,False,False,False,False
short/08-15427 H-12 1-21-2003 F-01341,total_anticipated_leases,INCOMPLETE_PERCEPTION,False,False,False,False
short/08-15427 H-12 1-21-2003 F-01341,total_anticipated_producing_wells,INCOMPLETE_PERCEPTION,False,False,False,False
short/08-15427 H-12 1-21-2003 F-01341,total_anticipated_injection_wells,INCOMPLETE_PERCEPTION,False,False,False,False
short/08-15427 H-12 1-21-2003 F-01341,field_name,INCOMPLETE_PERCEPTION,False,False,False,False
short/08-15427 H-12 1-21-2003 F-01341,lease_or_unit_name,RETRIEVAL_NO_CANDIDATE,False,False,False,False
short/08-15427 H-12 1-21-2003 F-01341,lease_no,RETRIEVAL_NO_CANDIDATE,False,False,False,False
short/08-15427 H-12 1-21-2003 F-01341,unitization_approved_yes,RETRIEVAL_NO_CANDIDATE,False,False,False,False
short/08-15427 H-12 1-21-2003 F-01341,unitization_approved_no,RETRIEVAL_NO_CANDIDATE,False,False,False,False
short/08-15427 H-12 1-21-2003 F-01341,unitization_order_no_and_date,COORDINATE_DRIFT,False,False,False,False
short/08-15427 H-12 1-21-2003 F-01341,unitization_needed_yes,ASSOCIATION_RANK_MISS,False,False,False,True
short/08-15427 H-12 1-21-2003 F-01341,unitization_needed_no,ASSOCIATION_RANK_MISS,False,False,False,True
short/08-15427 H-12 1-21-2003 F-01341,inj_auth_a_project_no,COORDINATE_DRIFT,False,False,False,False
short/08-15427 H-12 1-21-2003 F-01341,inj_auth_b_project_no,INCOMPLETE_PERCEPTION,False,False,False,False
short/08-15427 H-12 1-21-2003 F-01341,inj_auth_c_wells,INCOMPLETE_PERCEPTION,False,False,False,False
short/08-15427 H-12 1-21-2003 F-01341,signature_present,RETRIEVAL_NO_CANDIDATE,False,False,False,False
short/08-15427 H-12 1-21-2003 F-01341,name_print_or_type,RETRIEVAL_NO_CANDIDATE,False,False,False,False
short/08-15427 H-12 1-21-2003 F-01341,rrc_approved,RETRIEVAL_NO_CANDIDATE,False,False,False,False
short/08-15427 H-12 1-21-2003 F-01341,rrc_denied,RETRIEVAL_NO_CANDIDATE,False,False,False,False
short/08-15427 H-12 1-21-2003 F-01341,rrc_technical_examiner,RETRIEVAL_NO_CANDIDATE,False,False,False,False
short/08-15427 H-12 1-21-2003 F-01341,rrc_action_date,COORDINATE_DRIFT,False,False,False,False
short/real_clinton_property_25_11073,debtor_name,ASSOCIATION_RANK_MISS,True,False,False,True
short/real_clinton_property_25_11073,court,ASSOCIATION_RANK_MISS,True,False,False,True
short/real_clinton_property_25_11073,case_number,ASSOCIATION_RANK_MISS,False,False,False,True
short/real_clinton_property_25_11073,creditors[0].number,ASSOCIATION_RANK_MISS,False,False,False,True
short/real_clinton_property_25_11073,creditors[0].part,INCOMPLETE_PERCEPTION,False,False,False,False
